crime,count,broad,detailed
DWI 2ND OFFENDER BAC>=0.15,140,Alcohol - Driving,DWI 2ND
FLYING W/INTOX. 3RD BAC.08,1,Alcohol - Driving,DWI 3RD
BOATING W/INT. 3RD BAC.08,9,Alcohol - Driving,DWI 3RD
BOATING WHILE INTOXICATED--3RD,1,Alcohol - Driving,DWI 3RD
DWI 3RD OFFENDER BAC .08,10443,Alcohol - Driving,DWI 3RD
DWI 3RD SBI,4,Alcohol - Driving,DWI 3RD
DWI 3RD WITH 1 EHN.,8,Alcohol - Driving,DWI 3RD
DWI THIRD,15012,Alcohol - Driving,DWI 3RD
DWI W/CHILD PASSENGER,884,Alcohol - Driving,DWI with child
DWI W/CHILD UNDER 15 YOA,281,Alcohol - Driving,DWI with child
INTOXICATED ASSLT W/VEH SBI,1263,Alcohol - Driving,Intoxicated Assault
INTOXICATION ASSAULT,11,Alcohol - Driving,Intoxicated Assault
BEER-SELL TO MINOR,5,Alcohol - Other,Alcohol - Minor
PURCH ALC BY MINOR $25-200,5,Alcohol - Other,Alcohol - Minor
ATTEMPT PUR/FURN ALCOHOL BEV M,3,Alcohol - Other,Alcohol - Minor
MINOR CONSUMING ALCOHOLIC BEV,3,Alcohol - Other,Alcohol - Minor
MINOR UNDER INFLUENCE ALCOHOL,3,Alcohol - Other,Alcohol - Minor
BEER SALE BY MINOR,1,Alcohol - Other,Alcohol - Minor
ATT PURCH ALCOHOL BY MINOR,16,Alcohol - Other,Alcohol - Minor
CONSUME ALC BY MINOR $25-200,11,Alcohol - Other,Alcohol - Minor
ATT SELL LIQUOR TO MINOR,36,Alcohol - Other,Alcohol - Minor
FURN ALCOHOLIC BEV TO MINOR,21,Alcohol - Other,Alcohol - Minor
LIQUOR-SALE BY MINOR,209,Alcohol - Other,Alcohol - Minor
LIQUOR-SELL TO MINOR,2080,Alcohol - Other,Alcohol - Minor
MAKE A/B AVAILABLE TO MINOR,157,Alcohol - Other,Alcohol - Minor
MINOR POSS ALC BEV,24,Alcohol - Other,Alcohol - Minor
POSS ALCOHOL BY MINOR $25-200,123,Alcohol - Other,Alcohol - Minor
PURCHASE/FURNISH ALCOH TO MINO,676,Alcohol - Other,Alcohol - Minor
SELLING BEER TO MINOR - LIC,185,Alcohol - Other,Alcohol - Minor
SELLING BEER TO MINOR-AGT LIC,215,Alcohol - Other,Alcohol - Minor
LIQUOR CONSUMED DUR PROH HRS,841,Alcohol - Other,Alcohol - Other
LIQUOR DRUNK ON PREMISES,1463,Alcohol - Other,Alcohol - Other
LIQUOR-SELL ILL HOURS,34,Alcohol - Other,Alcohol - Other
LIQUOR-SERVING A DRUNK,1956,Alcohol - Other,Alcohol - Other
LIQUOR-VIOLATION,9765,Alcohol - Other,Alcohol - Other
POSS OF ILLICIT ALCOHOLIC BEV,234,Alcohol - Other,Alcohol - Other
PUBLIC INTOX W/3 PRIOR CONVICT,868,Alcohol - Other,Alcohol - Other
PUBLIC INTOXICATION,188,Alcohol - Other,Alcohol - Other
SOLICITING DRINKS FROM CUSTOME,130,Alcohol - Other,Alcohol - Other
LIQUOR-MFR ILLEGALLY,6,Alcohol - Other,Alcohol - Other
CONSUMPTION ON OFF PREMISE LIC,5,Alcohol - Other,Alcohol - Other
UNAUTH. USE OF LIQUOR LIC PERM,4,Alcohol - Other,Alcohol - Other
LIQUID-DRY AREA SALE,3,Alcohol - Other,Alcohol - Other
LIQUOR CONSUMED ON SCHOOL PROP,3,Alcohol - Other,Alcohol - Other
REFUSE ALLOW INSP/ALC. PREMISE,3,Alcohol - Other,Alcohol - Other
BEER-POSS DRY AREA,2,Alcohol - Other,Alcohol - Other
BEER-PREMISES VIOL,2,Alcohol - Other,Alcohol - Other
DRUNKENESS,2,Alcohol - Other,Alcohol - Other
BEER-LICENSE VIOLATION,1,Alcohol - Other,Alcohol - Other
DEL ALCOH FROM LIC PREM,1,Alcohol - Other,Alcohol - Other
DRUNK,1,Alcohol - Other,Alcohol - Other
FORGERY COUNTERFEIT ALC BEV ST,1,Alcohol - Other,Alcohol - Other
LIQUOR-TRANSPORT TO DRY AREA,1,Alcohol - Other,Alcohol - Other
POSS/CONS ALCOH BEV IN PARK WH,1,Alcohol - Other,Alcohol - Other
LIQUOR VIOLATION,12,Alcohol - Other,Alcohol - Other
LIQUOR-DRY AREA POSS FOR SALE,11,Alcohol - Other,Alcohol - Other
OPEN ALCOHOLIC BVG CONTAINER I,11,Alcohol - Other,Alcohol - Other
SALE OF ALC BEV PROHIBITED HOU,10,Alcohol - Other,Alcohol - Other
ATTACK ON ASSIST ANIMAL,2,Animal Violence,Animal Violence
CRUELTY NON-LIVESTOCK ANIMALS,143,Animal Violence,Animal Violence
CRUELTY TO ANIMALS,1526,Animal Violence,Animal Violence
DOG ATTACK,6,Animal Violence,Animal Violence
DOG FIGHTING,126,Animal Violence,Animal Violence
EXOTIC HARM FSH/SHELFSH/PLNT N,81,Animal Violence,Animal Violence
TAKE CERTAIN WILDLIFE W/O CONS,8,Animal Violence,Animal Violence
ATTD. EXOTIC HARM FSH/SHLFSH/P,5,Animal Violence,Animal Violence
DOG FIGHTING FOR PECUNIARY BEN,3,Animal Violence,Animal Violence
DOG FIGHTING FOR BENEFIT,2,Animal Violence,Animal Violence
ATTEMPT CRUELTY TO ANIMAL,1,Animal Violence,Animal Violence
CAUSE/OWN/TRAIN DOG FIGHTS,1,Animal Violence,Animal Violence
CRUELTY TO NON-L/STOCK ANIM W/,1,Animal Violence,Animal Violence
SPECTATOR DOG FIGHT,1,Animal Violence,Animal Violence
ARSON,2986,Arson,Arson
ARSON - EXPLOSION,27,Arson,Arson
ARSON - EXPLOSION-BODILY INJ,1,Arson,Arson
ARSON - MANUF CONT SUBSTANCE,3,Arson,Arson
ARSON AND BODILY INJURY,14,Arson,Arson
ARSON BLDG/HAB/VEH RKLS CAUSE,17,Arson,Arson
ARSON-BLDG/HAB/VEH BODILY INJ,472,Arson,Arson
ARSON-BODILY INJURY OR DEATH,80,Arson,Arson
ARSON-BUILD/HAB/VEH-UNK OWNER,189,Arson,Arson
ARSON-BUILDING/HABITATION/VEH,1040,Arson,Arson
ATT ARSON,380,Arson,Att Arson
SOLICIT ARSON,1,Arson,Att Arson
AGG ASLT MV/DIS FRARM HAB/BLDG,1,Assault - Nonsexual,Agg Assault
AGG ASLT SBI BY MTR VCH,10,Assault - Nonsexual,Agg Assault
AGG ASLT W/DEADLY WPN 1ENH.,4,Assault - Nonsexual,Agg Assault
AGG ASLT-SBI RECKLESS,773,Assault - Nonsexual,Agg Assault
AGG ASLT-SBI/DEADLY WEAPON,4993,Assault - Nonsexual,Agg Assault
AGG ASLT-SER BOD INJURY,1756,Assault - Nonsexual,Agg Assault
AGG ASSAULT,444,Assault - Nonsexual,Agg Assault
AGG ASSAULT BY PB SERVANT,134,Assault - Nonsexual,Agg Assault
AGG ASSAULT SEC OFFICER,10,Assault - Nonsexual,Agg Assault
AGG ASSAULT W/DEADLY WEAPON,18194,Assault - Nonsexual,Agg Assault
AGG ASSAULT-DEADLY WEAPON RECK,3,Assault - Nonsexual,Agg Assault
AGG ASSAULT-PEACE OFFICER,31,Assault - Nonsexual,Agg Assault
AGG ASSAULT-POLICE OFFICER,56,Assault - Nonsexual,Agg Assault
AGG ASSLT AGAINST PB SERVANT,913,Assault - Nonsexual,Agg Assault
AGG ASSLT AGNST WIT/INFORMANT,25,Assault - Nonsexual,Agg Assault
AGG ASSLT JAIL OR TDC GUARD,3,Assault - Nonsexual,Agg Assault
AGG ASSLT P/OFF RETAL DEAD/WPN,9,Assault - Nonsexual,Agg Assault
AGG ASSLT-12.44B,652,Assault - Nonsexual,Agg Assault
AGG ASSLT-D/W-PO,413,Assault - Nonsexual,Agg Assault
AGG ASSLT-DEADLY WPN,10071,Assault - Nonsexual,Agg Assault
AGG ASSLT-P/O BODILY INJURY,32,Assault - Nonsexual,Agg Assault
AGG ASSLT-PEACE OFFICER,3122,Assault - Nonsexual,Agg Assault
AGG ASSLT-SER BOD INJURY,2894,Assault - Nonsexual,Agg Assault
AGGASLTW/MTVEH,1,Assault - Nonsexual,Agg Assault
ASSLT-AGGRAVATED POLICE OFF,34,Assault - Nonsexual,Agg Assault
ASSLT-AGGRAVATED W/MTR VEH,2,Assault - Nonsexual,Agg Assault
ASSLT-DEADLY WPN,21,Assault - Nonsexual,Agg Assault
DEAD/ASLT IN LAWFUL DISCH/DUTY,4,Assault - Nonsexual,Agg Assault
DEAD/ASLT P/OFF FIREARM RETAL,3,Assault - Nonsexual,Agg Assault
DEADLY ASSLT-PEACE OFFICER,2,Assault - Nonsexual,Agg Assault
INJ CHILD/ELDER/DISABL RECK BO,2,Assault - Nonsexual,Agg Assault
INJ CHILD/ELDER/DISABL RECK SB,2,Assault - Nonsexual,Agg Assault
INJ TO DISABLED - BOD INJ,171,Assault - Nonsexual,Agg Assault
INJ TO DISABLED - CRIM NEG,16,Assault - Nonsexual,Agg Assault
INJ TO DISABLED - SBI,5,Assault - Nonsexual,Agg Assault
INJ TO DISABLED-RECK-BOD,18,Assault - Nonsexual,Agg Assault
INJ TO ELDERLY BY OMISSION,4,Assault - Nonsexual,Agg Assault
INJ TO ELDERLY-RECK-BOD INJ,49,Assault - Nonsexual,Agg Assault
INJURY ELDERLY -CRIM NEG,47,Assault - Nonsexual,Agg Assault
INJURY ELDERLY-SBI,39,Assault - Nonsexual,Agg Assault
INJURY TO ELDERLY,838,Assault - Nonsexual,Agg Assault
INJURY TO ELDERLY - SBI,44,Assault - Nonsexual,Agg Assault
INJURY TO ELDERLY - SMD/I,2,Assault - Nonsexual,Agg Assault
INJURY TO ELDERLY- BI,200,Assault - Nonsexual,Agg Assault
OFFENSIVE CONTACT,113,Assault - Nonsexual,Agg Assault
INJURY ELDERLY 65 BOD/INJURY,28,Assault - Nonsexual,Agg Assault
ATT INJURY TO DISABLED PERSON,19,Assault - Nonsexual,Agg Assault
ATTEMPT INJURY TO ELDERLY,17,Assault - Nonsexual,Agg Assault
INJURY INVALID INDIVIDUAL B/I,8,Assault - Nonsexual,Agg Assault
INJURY TO INVALID INDIVIDUAL,8,Assault - Nonsexual,Agg Assault
INJ TO ELDERLY-RECK-SBI,7,Assault - Nonsexual,Agg Assault
INJ TO ELDERLY-RECK-MEN INJ,2,Assault - Nonsexual,Agg Assault
INJURY ELDERLY 65 AND UNDER,2,Assault - Nonsexual,Agg Assault
AGG/ASLT CRT/PART/IN LAWFUL DU,1,Assault - Nonsexual,Agg Assault
INJ TO DISABLED-RECK-MEN INJ,1,Assault - Nonsexual,Agg Assault
INJ TO DISABLED-RECK-SBI,1,Assault - Nonsexual,Agg Assault
INJURY TO ELDERLY - SD/D,1,Assault - Nonsexual,Agg Assault
AGG ASSAULT - FAMILY MEMBER SB,58,Assault - Nonsexual,Agg Assault - Family
AGG ASSAULT-FAMILY MEMBER,4356,Assault - Nonsexual,Agg Assault - Family
AGG  ROBBERY-S-B-I,317,Assault - Nonsexual,Agg Robbery
AGG ROBBERY-DEADLY WPN,35666,Assault - Nonsexual,Agg Robbery
AGG ROBBERY-OVER 65 OR DISABLE,456,Assault - Nonsexual,Agg Robbery
AGG ROBBERY-S-B-I,4248,Assault - Nonsexual,Agg Robbery
ASLT BY FAM/HOUSE MEM 2+ W/IN,161,Assault - Nonsexual,Assault
ASLT FAM/HOUSE MEM IMPED BRTH/,1752,Assault - Nonsexual,Assault
ASLT TO MAIM PRIV/CITIZEN,2,Assault - Nonsexual,Assault
ASSAULT,15616,Assault - Nonsexual,Assault
ASSAULT - CONT EMPLOY OF JAIL/,24,Assault - Nonsexual,Assault
ASSAULT - ENHANCED BY HATE CRI,4,Assault - Nonsexual,Assault
ASSAULT - SECURITY OFFICER,73,Assault - Nonsexual,Assault
ASSAULT - SPORTS PARTICIP,2,Assault - Nonsexual,Assault
ASSAULT EMS PERSONNEL PROV SER,1,Assault - Nonsexual,Assault
ASSAULT W/PREV CONV,1,Assault - Nonsexual,Assault
ASSAULT-BOD INJ-PUB SERV/RETAL,4450,Assault - Nonsexual,Assault
ASSAULT-BODILY INJURY,104247,Assault - Nonsexual,Assault
ASSAULT-ELDERLY/DISABLED-CONTA,60,Assault - Nonsexual,Assault
ASSAULT-ELDERLY/DISABLED-THREA,8,Assault - Nonsexual,Assault
ASSAULT-PEACE OFFICER,54,Assault - Nonsexual,Assault
ASSAULT-THREAT INJURY,567,Assault - Nonsexual,Assault
ASSLT,1004,Assault - Nonsexual,Assault
ASSLT FAM/HOUSEHOLD MEM W/PREV,6,Assault - Nonsexual,Assault
ASSLT INT/RCK/IMP/BRTH/CIRC/PR,334,Assault - Nonsexual,Assault
DIS CONDUCT FIGHT            P,180,Assault - Nonsexual,Assault
DISARMING POLICE OFFICER,288,Assault - Nonsexual,Assault
RECKLESSLY CAUSE BODILY INJUR,32,Assault - Nonsexual,Assault
RIOT PARTICIPATION,77,Assault - Nonsexual,Assault
TAKE WEAPON FROM POLICE OFFICE,56,Assault - Nonsexual,Assault
TAMPER CONSUMER PROD-THREAT,2,Assault - Nonsexual,Assault
HAZING W/O BODILY INJURY,16,Assault - Nonsexual,Assault
FELONY TO INCITE RIOT,11,Assault - Nonsexual,Assault
THREAT-SER BOD INJ,8,Assault - Nonsexual,Assault
RIOT-INCITE,6,Assault - Nonsexual,Assault
TAMPER CONSUMER PRODUCT,6,Assault - Nonsexual,Assault
HAZING - BODILY INJURY,4,Assault - Nonsexual,Assault
TAMPER CONSUMER PROD-SBI,1,Assault - Nonsexual,Assault
ASSAULT - FAMILY MEMBER ENHANC,9,Assault - Nonsexual,Assault - Family
ASSAULT FAMILY/HOUSEHOLD MEMBE,2,Assault - Nonsexual,Assault - Family
ASSAULT-BOD INJ-FAMILY MEMBER,6143,Assault - Nonsexual,Assault - Family
ASSAULT-FAM MEMB-2 PRIOR ASSAU,74,Assault - Nonsexual,Assault - Family
ASSAULT-FAMILY MEMBER,60058,Assault - Nonsexual,Assault - Family
ASSAULT-PHYS CONTACT-FAM MEMB,23,Assault - Nonsexual,Assault - Family
ATT AGG ASLT PUBLIC SERVANT,13,Assault - Nonsexual,Att Agg Assault
ATT AGG ASSAULT PEACE OFFICER,22,Assault - Nonsexual,Att Agg Assault
ATT AGG ASSAULT W/DEADLY WEAPO,9,Assault - Nonsexual,Att Agg Assault
ATT AGG ASSLT,67,Assault - Nonsexual,Att Agg Assault
ATT AGG ASSLT SER BOD INJURY,20,Assault - Nonsexual,Att Agg Assault
ATT AGG ASSLT-DEADLY WPM,31,Assault - Nonsexual,Att Agg Assault
ATT AGG ASSLT-DEADLY WPN,50,Assault - Nonsexual,Att Agg Assault
ATT AGG ASSLT-P-O,32,Assault - Nonsexual,Att Agg Assault
ATT AGG ASSLT-S-B-I,44,Assault - Nonsexual,Att Agg Assault
ATT DEADLY ASSLT-P-O,1,Assault - Nonsexual,Att Agg Assault
ATTEMPT AGG ASSAULT ON FAMILY,1,Assault - Nonsexual,Att Agg Assault
CONSP COMMIT AGG ASSAULT,1,Assault - Nonsexual,Att Agg Assault
CONSP COMMIT AGG ASSAULT W/D.W,4,Assault - Nonsexual,Att Agg Assault
ATT ASSAULT ON PUBLIC SERVANT,390,Assault - Nonsexual,Att Assault
ATT ASSAULT PEACE OFFICER,125,Assault - Nonsexual,Att Assault
ATT ASSAULT SECURITY OFFICER,7,Assault - Nonsexual,Att Assault
ATT ASSLT-PEACE OFFICER,2,Assault - Nonsexual,Att Assault
ATT INTOXICATED ASSAULT,4,Assault - Nonsexual,Att Assault
ATT. DEADLY CONDUCT,303,Assault - Nonsexual,Att Assault
ATTEMPT TO TAKE WEAPON FROM P.,62,Assault - Nonsexual,Att Assault
ATTEMPTED ASSAULT,26,Assault - Nonsexual,Att Assault
ATT TAKE WEAPON FROM P.O.,4,Assault - Nonsexual,Att Assault
ATT ASLT FAM/HSE MEM IMPED BRT,49,Assault - Nonsexual,Att Assault - Family
ATT ASLT FAM/MEMBER 2ND OFFEND,341,Assault - Nonsexual,Att Assault - Family
ATT ASSLT FAM/HOUSE MEM 2+ W/1,10,Assault - Nonsexual,Att Assault - Family
CONSP AGG ROB-S-B-I,38,Assault - Nonsexual,Att Robbery
CRIM CONSP. W/I COMMIT AGG ROB,6,Assault - Nonsexual,Att Robbery
ATT ROBBERY,69,Assault - Nonsexual,Att Robbery
ATT ROBBERY BY ASSLT,50,Assault - Nonsexual,Att Robbery
ATT ROBBERY BY ASSULT,76,Assault - Nonsexual,Att Robbery
CONSP ATT ROB-DEADLY WPN,33,Assault - Nonsexual,Att Robbery
CONSP ROB-BODILY INJURY,7,Assault - Nonsexual,Att Robbery
CONSP ROB-THREAT,4,Assault - Nonsexual,Att Robbery
DEADLY COND-DISCH F-ARM HAB/BL,995,Assault - Nonsexual,Deadly Conduct
DEADLY CONDUCT,8006,Assault - Nonsexual,Deadly Conduct
RECKLESS CONDUCT,5231,Assault - Nonsexual,Deadly Conduct
ASSLT W-INTENT ROB,11,Assault - Nonsexual,Robbery
ROBBERY,3451,Assault - Nonsexual,Robbery
ROBBERY-BODILY INJURY,11212,Assault - Nonsexual,Robbery
ROBBERY-THREATS,7528,Assault - Nonsexual,Robbery
SOLICIT AGG ROBBERY,14,Assault - Nonsexual,Robbery
TERRORISTIC THREAT,13570,Assault - Nonsexual,Terroristic Threat
ATT BURG BLDG W/I COMMIT BURG,19,Burglary,Att Burglary
ATT BURG OF A BUILDING,226,Burglary,Att Burglary
ATT BURG W-INTENT COMMIT FEL,51,Burglary,Att Burglary
ATT BURG W-INTENT THEFT,360,Burglary,Att Burglary
ATT BURG W-INTENT-COMMIT FEL,290,Burglary,Att Burglary
ATT BURGLARY,21,Burglary,Att Burglary
ATT BURGLARY OF A BLDG,737,Burglary,Att Burglary
ATT BURGLARY OF BUILDING,458,Burglary,Att Burglary
ATT BURG RESULTING IN INJURY,4,Burglary,Att Burglary
ATT ARMED BURGLARY,2,Burglary,Att Burglary
SOLICIT-BURG W-INTENT CMIT FEL,2,Burglary,Att Burglary
CONSP BURG W-INTENT THEFT,1,Burglary,Att Burglary
CONSP-BURG W-INTENT,1,Burglary,Att Burglary
SOLICIT-BURG W-INTENT THEFT,1,Burglary,Att Burglary
SOLICIT-BURG W-INTENT-CMIT FEL,1,Burglary,Att Burglary
ATT BURG HAB W/I COMMIT THEFT,82,Burglary,Att Burglary - Habitation
ATT BURG HABIT W/I TO COMMIT F,10,Burglary,Att Burglary - Habitation
ATT BURG HABITATION-THEFT,1093,Burglary,Att Burglary - Habitation
ATT BURGLARY HABITATION,479,Burglary,Att Burglary - Habitation
ATT BURG VEHICLE,1993,Burglary,Att Burglary - Vehicle
ATT BURGLARY OF VEHICLE,372,Burglary,Att Burglary - Vehicle
ARMED BURGLARY,172,Burglary,Burglary
BURG BLDG,8246,Burglary,Burglary
BURG BLDG W/I COMMIT AGG/ASLT,12,Burglary,Burglary
BURG COIN-OP MACHINE,6,Burglary,Burglary
BURG RAIL CAR W/INT COMMIT THE,3,Burglary,Burglary
BURG RESULTING IN INJURY,28,Burglary,Burglary
BURG W-INTENT COMMIT FELONY,123,Burglary,Burglary
BURG W-INTENT MURDER,3,Burglary,Burglary
BURG W-INTENT THEFT,10123,Burglary,Burglary
BURG W-INTENT-COMMIT FELONY,428,Burglary,Burglary
BURG W-INTENT-COMMIT OTHER FEL,1685,Burglary,Burglary
BURGLARY,664,Burglary,Burglary
BURGLARY OF A BUILDING,10997,Burglary,Burglary
ARMED BURGLARY-BUILDING,15,Burglary,Burglary
BURG BLDG W/I COMMIT THEFT,11,Burglary,Burglary
BURG BLDG/HAB W/I COM FELONY A,14,Burglary,Burglary - Habitation
BURG HAB W/I COMMIT FELONY,33,Burglary,Burglary - Habitation
BURG HAB W/I COMMIT THEFT,38,Burglary,Burglary - Habitation
BURG HABITATION-MURDER,9,Burglary,Burglary - Habitation
BURG HABITATION-THEFT,20679,Burglary,Burglary - Habitation
BURGLARY OF A HABITATION,2,Burglary,Burglary - Habitation
BURGLARY OF HABITATION,18897,Burglary,Burglary - Habitation
SOLICIT-BURG HABITATION,3,Burglary,Burglary - Habitation
BURG MV W/I COMMIT THEFT,695,Burglary,Burglary - Vehicle
BURG MV W/INT TO COMMIT THEFT,89,Burglary,Burglary - Vehicle
BURG OF VEHICLE W/2 OR MORE CO,552,Burglary,Burglary - Vehicle
BURG VEHICLE,15562,Burglary,Burglary - Vehicle
BURGLARY MOTOR VEHICLE - ENHAN,1000,Burglary,Burglary - Vehicle
BURGLARY OF MOTOR VEHICLE,436,Burglary,Burglary - Vehicle
BURGLARY OF VEHICLE,17034,Burglary,Burglary - Vehicle
ATT INDENCY CHILD EXPOSURE,84,Child Sex Crime,Att Indecency - Child
ATT INDENCY W/CHILD,142,Child Sex Crime,Att Indecency - Child
ATT AGG SEX ABUSE-CHILD,32,Child Sex Crime,Att Sexual Assault - Child
ATT SEX ABUSE-CHILD,29,Child Sex Crime,Att Sexual Assault - Child
SOLICIT AGG SEX ABUSE CHILD,2,Child Sex Crime,Att Sexual Assault - Child
ATT AGG RAPE-CHILD,11,Child Sex Crime,Att Sexual Assault - Child
ATT AGG SEX ASSLT CHILD <14,30,Child Sex Crime,Att Sexual Assault - Child
ATT RAPE-CHILD,21,Child Sex Crime,Att Sexual Assault - Child
ATT SEX ASSLT-CHILD,54,Child Sex Crime,Att Sexual Assault - Child
ATT SEXUAL ASSAULT - CHILD,3,Child Sex Crime,Att Sexual Assault - Child
CONSP COMMIT RAPE-CHILD,2,Child Sex Crime,Att Sexual Assault - Child
ATT POSS OF CHILD PORN,13,Child Sex Crime,Child Porn
POSS CHILD PORNOGRAPHY,974,Child Sex Crime,Child Porn
PROMOTE CHILD PORNOGRAHPY,7,Child Sex Crime,Child Porn
PROMOTE CHILD PORNOGRAPHY,136,Child Sex Crime,Child Porn
POSS OBSC MATERIAL OF A MINOR,2,Child Sex Crime,Child Porn
DISPLAY HARMFUL MATTER-MINOR,76,Child Sex Crime,Child Sex Crime - Other
ATT SALE HRMFUL MATT-MINOR,1,Child Sex Crime,Child Sex Crime - Other
OBSCN/PROM/OBSCN/MATTER/MINOR,1,Child Sex Crime,Child Sex Crime - Other
IMPROPER RELAT W/STUDENT,46,Child Sex Crime,Child Sex Crime - Other
ATTEMPT IMPROPER RELATION W/ST,1,Child Sex Crime,Child Sex Crime - Other
INCEST CHILD,21,Child Sex Crime,Child Sex Crime - Other
ATT SEX PERFORMANCE BY A CHILD,3,Child Sex Crime,Child Sex Crime - Other
SEX/PER/BY CHILD/EMP/AUTH/INDC,100,Child Sex Crime,Child Sex Crime - Other
SEX/PER/BY CHILD/PRO/DIR/PRO,36,Child Sex Crime,Child Sex Crime - Other
SEX/PERF/B/CHILD/PAR/CNT/TO/PT,10,Child Sex Crime,Child Sex Crime - Other
SEXUAL PERFOR B/CHILD <14YRS,3,Child Sex Crime,Child Sex Crime - Other
INDECEN-CHILD EXPOSE-UNDER 12,24,Child Sex Crime,Indecency - Child
INDECENCY CHILD-CTG,1024,Child Sex Crime,Indecency - Child
INDECENCY CHILD-TB,2856,Child Sex Crime,Indecency - Child
INDECENCY CHILD-TG,4409,Child Sex Crime,Indecency - Child
INDECENCY W/CHILD,172,Child Sex Crime,Indecency - Child
INDECENCY-CHILD EXPOSURE,3080,Child Sex Crime,Indecency - Child
INDECENCY-FONDLING,624,Child Sex Crime,Indecency - Child
COMPEL PROSTITUTION-MINOR,154,Child Sex Crime,Sexual Assault - Child
ATT COMPEL PROSTITUTION-MINOR,6,Child Sex Crime,Sexual Assault - Child
COMPELLING PROSTITUTION < 18 Y,4,Child Sex Crime,Sexual Assault - Child
AGG SEX ABU CLD-THRT SBI/D D W,8,Child Sex Crime,Sexual Assault - Child
AGG SEX ABUSE CHILD-UNDER 14,177,Child Sex Crime,Sexual Assault - Child
AGG SEX ABUSE-CHILD,37,Child Sex Crime,Sexual Assault - Child
CONTINUE SEX AB/CHILD,97,Child Sex Crime,Sexual Assault - Child
SEX ABUSE - CHILD,9,Child Sex Crime,Sexual Assault - Child
SEX ABUSE CHILD-PFO,2,Child Sex Crime,Sexual Assault - Child
SEX ABUSE-CHILD,543,Child Sex Crime,Sexual Assault - Child
SEX ABUSE-CHILD UNDER 12,1,Child Sex Crime,Sexual Assault - Child
AGG RAPE CHILD- FEAR SBI/D,17,Child Sex Crime,Sexual Assault - Child
AGG RAPE CHILD UNDER 14,81,Child Sex Crime,Sexual Assault - Child
AGG RAPE CHILD-DEADLY WPN,6,Child Sex Crime,Sexual Assault - Child
AGG RAPE CHILD-THREAT SBI/D,6,Child Sex Crime,Sexual Assault - Child
AGG RAPE-CHILD,56,Child Sex Crime,Sexual Assault - Child
AGG SEX ASSLT CHILD 14-17,208,Child Sex Crime,Sexual Assault - Child
AGG SEX ASSLT CHILD-UNDER 12,9,Child Sex Crime,Sexual Assault - Child
AGG SEX ASSLT CHILD-UNDER 14,8058,Child Sex Crime,Sexual Assault - Child
AGG SEXUAL ASSAULT CHILD,3123,Child Sex Crime,Sexual Assault - Child
RAPE-CHILD,526,Child Sex Crime,Sexual Assault - Child
SEX ASSLT CHILD 14-17,4448,Child Sex Crime,Sexual Assault - Child
SEX ASSLT-ANOTHER PERSON (CHIL,774,Child Sex Crime,Sexual Assault - Child
SEX ASSLT-CHILD,125,Child Sex Crime,Sexual Assault - Child
SUPER AGG SEX ASSLT CHILD < 6,93,Child Sex Crime,Sexual Assault - Child
SUPER AGG SEX ASSLT CHILD 6-14,12,Child Sex Crime,Sexual Assault - Child
SOLICTING A CHILD,52,Child Sex Crime,Soliciting - Child
CRIMINAL SOLICITATION OF A MIN,54,Child Sex Crime,Soliciting - Child
